id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
15240,M. Trout (fresh),1,Fish. trout. rainbow. farmed. raw,,,141,20,6,0,0,74,25,0,25,226,377,51,0,0,0,24,3,0,0,6,2,0,11,65,4,84,2,16,0,0.1,0.5,2.0,1.5,1.4,0.0,0.8,1.1,0.9,0.2,0.6,1.7,1.0,1.9,0.6
15119,M. Tuna. canned in oil,1,Fish. tuna. light. canned in oil. drained solids,,,198,29,8,0,0,60,13,1,31,311,207,416,1,0,0,76,0,0,0,12,0,0,5,29,2,23,1,7,44,0.1,2.7,2.9,2.9,1.5,0,1.1,1.5,1.3,0.3,0.9,2.4,1.3,2.7,0.9
05167,M. Turkey,1,Turkey. whole. meat only. raw,,,115,23,2,0,0,75,11,1,27,190,235,118,2,0,0,23,0,0,0,8,1,1,7,60,1,9,0,0,0,0.0,0.3,0.5,0.4,0.5,0.0,0.7,0.7,0.8,0.2,0.6,1.6,0.6,1.9,0.6
12061,N. Almonds (bag),1,Nuts. almonds,,,579,21,50,22,13,4,269,4,270,481,733,1,3,1,2,4,0,0,1,4,0,0,44,52,0,0,26,0,0,0.0,12.3,31.6,12.3,3.8,0.0,1.1,0.9,0.6,0.2,0.2,1.5,0.8,0.6,0.5
12078,N. Brazil Nuts,1,Nuts. brazilnuts. dried. unblanched,,,659,14,67,12,8,3,160,2,376,725,659,3,4,2,1,1917,1,1,0,0,0,0,22,29,0,0,6,0,0,0.0,24.4,23.9,24.4,16.1,0,0.6,0.8,0.4,0.1,1.1,1.2,0.5,0.5,0.4
12087,N. Cashews,1,Nuts. cashew nuts. raw,,,553,18,44,30,3,5,37,7,292,593,660,12,6,2,2,20,1,0,0,1,1,0,25,0,0,0,1,0,34,0.1,7.8,23.8,7.8,7.8,0,1.0,1.1,0.7,0.3,0.4,1.5,0.8,0.9,0.5
12120,N. Hazelnuts,1,Nuts. hazelnuts or filberts,,,628,15,61,17,10,5,114,5,163,290,680,0,2,2,6,2,6,1,0,2,1,1,113,46,0,1,15,0,14,0.1,7.8,45.7,7.9,4.5,0,0.7,0.7,0.5,0.2,0.2,1.1,0.5,0.4,0.4
16087,N. Peanuts,1,Peanuts. all types. raw,,,567,26,49,16,9,7,92,5,168,376,705,18,3,1,2,7,0,1,0,12,2,0,240,53,0,0,8,0,0,0.0,15.6,24.4,15.6,6.3,0.0,1.4,1.1,0.9,0.3,0.3,1.7,0.9,0.9,0.7
12142,N. Pecan,1,Nuts. pecans,,,691,9,72,14,10,4,70,3,121,277,410,0,5,1,5,4,1,1,0,1,1,0,22,41,0,3,1,0,4,1.0,20.6,40.8,21.6,6.2,0,0.4,0.4,0.3,0.1,0.2,0.6,0.3,0.3,0.3
12147,N. Pine nuts,1,Nuts. pine nuts. dried,,,673,14,68,13,4,2,16,6,251,575,597,2,6,1,9,1,1,0,0,4,0,0,34,56,0,1,9,0,54,0.2,33.2,18.8,34.1,4.9,0,0.5,0.7,0.4,0.1,0.3,1.0,0.5,0.5,0.3
