"id","name","sub_category"
"10761045","Johma oude kaas salade","Hummus & broodsalades"
"10772973","Kaasplateau mild","Olijven, tapas & borrel"
"10760735","Verse olijven met knoflook","Olijven, tapas & borrel"
"10768120","Chovi allioli vers","Olijven, tapas & borrel"
"10760743","Verse groene pesto","Olijven, tapas & borrel"
"10761928","Huls chorizo","Olijven, tapas & borrel"
"10762085","Waarlandse blokjes extra belegen","Olijven, tapas & borrel"
"10512792","Quaker havermout","Havermout & pap"
"10572577","Havermout vlokken","Havermout & pap"
"10543799","G'woon havermout","Havermout & pap"
"10584936","Brinta volkoren graanontbijt","Havermout & pap"
"10584942","Brinta Wake Up banaan","Havermout & pap"
"10969729","Brinta Wake Up naturel","Havermout & pap"
"10584374","Quaker cruesli chocolade","Muesli & granola"
"10543523","G'woon krokante muesli 4 noten","Muesli & granola"
"10589171","Zonnatura bio muesli rijkgevuld","Muesli & granola"
"10565066","Van Zoelen muesli rozijnen","Muesli & granola"
"10512231","Eat Natural granola amandel zaden honing","Muesli & granola"
"10512240","Bolletje ontbijtgranen hazelnoot amandel","Muesli & granola"
"10674402","Kellogg's Special K pure chocolade","Cornflakes & kinderontbijt"
"10674403","Kellogg's Special K naturel","Cornflakes & kinderontbijt"
"10824415","Kellogg's Coco pops chocos","Cornflakes & kinderontbijt"
"10573437","Kellogg's tresor melk chocolade","Cornflakes & kinderontbijt"
"10567249","Kellogg's honey loops","Cornflakes & kinderontbijt"
"10674401","Kellogg's Smacks","Cornflakes & kinderontbijt"
"10595995","Smaakt bio lijnzaad gebroken","Granen, zaden & vlokken"
"10595994","Smaakt bio lijnzaad","Granen, zaden & vlokken"
"10595029","Raw bio chiazaad","Granen, zaden & vlokken"
"10511676","Smaakt bio hele havervlokken","Granen, zaden & vlokken"
"10595021","Raw bio cacao nibs","Granen, zaden & vlokken"
"10595976","Smaakt bio speltvlokken","Granen, zaden & vlokken"
"10543872","Bolletje beschuit","Beschuit"
"10524941","G'woon beschuit naturel","Beschuit"
"10524942","G'woon beschuit volkoren","Beschuit"
"10543767","Bolletje volkoren beschuit","Beschuit"
