id,supplier,name,active,description,category,timestamp,usda_id,price_per_kg,price_per_unit,usda_weight_unit_g,weight_net_g,price_total,organic,origin,picture
wi444852,NL ah,AH Protein cottage cheese 150 g ,1,,Kaas. vleeswaren. delicatessen/Huttenkase,,01012,6.8,,,150 g,1.02,,,https://static.ah.nl/static/product/AHI_43545236313831333833_1_LowRes_JPG.JPG
wi195553,NL ah,Bonduelle Kikkererwten 150 g ,1,,Aardappel. groente. fruit/Kikkererwten (conserven),,16056,6.8,,,150 g,1.02,,,https://static.ah.nl/static/product/AHI_434d50303234373737_1_LowRes_JPG.JPG
wi165539,NL ah,AH Scharrel kipdrumsticks gekruid ca. 620 g ,1,,Vlees. kip. vis. vega/Kipdrumsticks,,05096,6.78,,620.00 g,ca. 620 g,3.09,,,https://static.ah.nl/static/product/AHI_434d50323033313432_6_LowRes_JPG.JPG
wi409909,NL ah,De Cecco Tagliatelle n° 203 500 g ,1,,Pasta. rijst. internationale keuken/Tagliatelli. fettucini. linguine (houdbaar),,20420,6.76,,,500 g,3.38,,,https://static.ahold.com/cmgtcontent/media//001704600/000/001704630_001_409909_708.jpg
wi47366/,NL ah,AH Biologisch Champignons 250 g ,1,,Aardappel. groente. fruit/Champignons (vers),,11260,6.76,,,250 g,1.69,,,https://static.ah.nl/static/product/AHI_434d50313838333633_3_LowRes_JPG.JPG
wi217024,NL ah,AH Doosjevol granaatappelpitjes 250 g ,1,,Aardappel. groente. fruit/Granaatappel (diepvries),,09286,6.76,,,250 g,1.69,,,https://static.ah.nl/static/product/AHI_434d50313231323634_2_LowRes_JPG.JPG
wi215318,NL ah,AH Pitloze witte druiven 250 g ,1,,Aardappel. groente. fruit/Verse witte druiven,,09132,6.76,,,250 g,1.69,,,https://static.ah.nl/static/product/AHI_434d50323430333638_1_LowRes_JPG.JPG
wi202100,NL ah,AH Zuivelspread naturel 200 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Roomkaas (naturel),,01017,6.75,,,200 g,1.35,,,https://static.ah.nl/static/product/AHI_434d50303430363239_3_LowRes_JPG.JPG
wi195377,NL ah,AH Zuivelspread naturel light 200 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Roomkaas light,,01017,6.75,,,200 g,1.35,,,https://static.ah.nl/static/product/AHI_434d50303038343338_3_LowRes_JPG.JPG
wi103377,NL ah,AH Hamburgers 4 stuks ,1,,Vlees. kip. vis. vega/Hamburger (vers),,23572,6.73,,,4 stuks,2.69,,,https://static.ah.nl/static/product/AHI_434d50313237313036_8_LowRes_JPG.JPG
wi425972,NL ah,Santa Maria Tortilla whole wheat 320 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.71875,,,320 g,2.15,,,https://static.ahold.com/cmgtcontent/media//001848900/000/001848928_001_425972_708.jpg
wi182994,NL ah,Bonduelle Crispy mais bio 300 g ,1,,Aardappel. groente. fruit/Maiskorrels (conserven),,11167,6.7,,,300 g,2.01,,,https://static.ahold.com/cmgtcontent/media//001420700/000/001420778_001_182994_708.jpg
wi437570,NL ah,Santa Maria Corn & wheat tortilla 336 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.696428571,,,336 g,2.25,,,https://static.ahold.com/cmgtcontent/media//001951600/000/001951656_001_437570_708.jpg
wi165538,NL ah,AH Scharrel kipdrumsticks naturel ca. 610 g ,1,,Vlees. kip. vis. vega/Kipdrumsticks,,05096,6.67,,610.00 g,ca. 610 g,3.04,,,https://static.ah.nl/static/product/AHI_434d50323033313435_6_LowRes_JPG.JPG
wi437987,NL ah,AH Granola aardbei-kokosnoot 300 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (fruit),,08037,6.633333333,,,300 g,1.99,,,https://static.ah.nl/static/product/AHI_434d5039343134333835_2_LowRes_JPG.JPG
wi192045,NL ah,AH Varkens chipolataworstjes 300 g ,1,,Vlees. kip. vis. vega/Worst (varkensvlees),,10972,6.633333333,,,300 g,1.99,,,https://static.ah.nl/static/product/AHI_434d50313331373636_2_LowRes_JPG.JPG
wi437271,NL ah,Zonnatura Granola noten en zaden 350 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (noten),,08037,6.628571429,,,350 g,2.32,,,https://static.ahold.com/cmgtcontent/media//001967300/000/001967394_001_437271_708.jpg
wi437270,NL ah,Zonnatura Granola rood fruit 350 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (fruit),,08037,6.628571429,,,350 g,2.32,,,https://static.ahold.com/cmgtcontent/media//001967300/000/001967392_001_437270_708.jpg
wi408922,NL ah,Bio Tortilla tarwebloem natuur 240 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.625,,,240 g,1.59,,,https://static.ahold.com/cmgtcontent/media//001688900/000/001688964_001_408922_708.jpg
wi162673,NL ah,AH Doosjevol aardbeien 225 g ,1,,Aardappel. groente. fruit/Aardbeien (diepvries),,09316,6.622222222,,,225 g,1.49,,,https://static.ah.nl/static/product/AHI_434d50323433363731_1_LowRes_JPG.JPG
wi394821,NL ah,AH Snoepgroente worteltjes 150 g ,1,,Aardappel. groente. fruit/Wortelen (vers),,11124,6.6,,,150 g,0.99,,,https://static.ah.nl/static/product/AHI_434d50323533323234_3_LowRes_JPG.JPG
wi406381,NL ah,Smaakt Granola granen noten bio 350 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Granola (noten),,08037,6.571428571,,,350 g,2.3,,,https://static.ahold.com/cmgtcontent/media//001657200/000/001657292_002_406381_708.jpg
wi222037,NL ah,Planta Boter smeerbaar classic 250 g ,1,,Zuivel. eieren/Ongezouten roomboter,,01145,6.56,,,250 g,1.64,,,https://static.ahold.com/cmgtcontent/media//001095900/000/001095974_001_222037_708.jpg
wi221977,NL ah,Jacquet Maxi jac volkoren 450 g ,1,,Bakkerij/Volkoren brood (dagvers),,18075,6.555555556,,,450 g,2.95,,,https://static.ahold.com/cmgtcontent/media//001095800/000/001095894_001_221977_708.jpg
wi133481,NL ah,AH Spareribs 830 g ,1,,Diepvries/Spareribs (diepvries),,10972,6.554216867,,,830 g,5.44,,,https://static.ah.nl/static/product/AHI_434d5031303433303734_2_LowRes_JPG.JPG
wi450416,NL ah,Souq Gerst volkoren couscous 350 g ,1,,Pasta. rijst. internationale keuken/Bulgur,,20012,6.542857143,,,350 g,2.29,,,
wi449861,NL ah,La Morena Volkoren tortilla's klein 320 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.53125,,,320 g,2.09,,,
wi58055/,NL ah,AH Olijfolie traditioneel 1 l ,1,,Pasta. rijst. internationale keuken/Olijfolie basis,,04053,6.53,,,1 l,6.53,,,https://static.ah.nl/static/product/AHI_434d50303736393530_2_LowRes_JPG.JPG
wi395952,NL ah,AH Bloemkool- en broccoliroosjes 400 g ,1,,Aardappel. groente. fruit/Bloemkool (vers),,11135,6.475,,,400 g,2.59,,,https://static.ah.nl/static/product/AHI_434d50323539373132_1_LowRes_JPG.JPG
wi187610,NL ah,AH Boomstammetjes 400 g ,1,,Vlees. kip. vis. vega/Boomstammetje,,10972,6.475,,,400 g,2.59,,,https://static.ah.nl/static/product/AHI_434d50313334373037_5_LowRes_JPG.JPG
wi420250,NL ah,Wijko Satésaus geconcentreerd 540 g ,1,,Pasta. rijst. internationale keuken/Satésaus,,27059,6.462962963,,,540 g,3.49,,,https://static.ahold.com/cmgtcontent/media//001801400/000/001801476_001_420250_708.jpg
wi133413,NL ah,AH Hamburger 8 stuks ,1,,Vlees. kip. vis. vega/Hamburger (vers),,23572,6.46,,,8 stuks,4.65,,,https://static.ah.nl/static/product/AHI_434d50303430333432_4_LowRes_JPG.JPG
wi395948,NL ah,AH Kleintje spinazie 200 g ,1,,Aardappel. groente. fruit/Spinazie (vers),,11457,6.45,,,200 g,1.29,,,https://static.ah.nl/static/product/AHI_434d50323539373138_2_LowRes_JPG.JPG
wi1932/d,NL ah,Danone Hüttenkäse 200 g ,1,,Kaas. vleeswaren. delicatessen/Huttenkase,,01012,6.45,,,200 g,1.29,,,https://static.ah.nl/static/product/AHI_43545236313832343836_1_LowRes_JPG.JPG
wi58043/,NL ah,AH Olijfolie extra vierge 1 l ,1,,Pasta. rijst. internationale keuken/Extra vierge dagelijks,,04053,6.43,,,1 l,6.43,,,https://static.ah.nl/static/product/AHI_434d50313539323432_3_LowRes_JPG.JPG
wi377960,NL ah,AH Zoete aardappelpuree 450 g ,1,,Aardappel. groente. fruit/Aardappelpuree (vers),,11352,6.422222222,,,450 g,2.89,,,https://static.ah.nl/static/product/AHI_434d5033343638343735_2_LowRes_JPG.JPG
wi209302,NL ah,Kri Kri Originele Griekse yoghurt 170 g ,1,,Zuivel. eieren/Griekse yoghurt naturel,,01287,6.411764706,,,170 g,1.09,,,https://static.ahold.com/cmgtcontent/media//001297800/000/001297808_003_209302_708.jpg
wi415004,NL ah,La Morena Mais tortilla wraps 8 stuks ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18363,6.41,,,8 stuks,2.05,,,https://static.ah.nl/static/product/AHI_434d50353939353635_1_LowRes_JPG.JPG
wi425974,NL ah,Santa Maria Tortilla garlic & herbs 320 g ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.40625,,,320 g,2.05,,,https://static.ahold.com/cmgtcontent/media//001842400/000/001842486_001_425974_708.jpg
wi410944,NL ah,AH Verse gnocchi 400 g ,1,,Pasta. rijst. internationale keuken/Gnocchi (vers),,20420,6.4,,,400 g,2.56,,,https://static.ah.nl/static/product/AHI_434d50323837383831_1_LowRes_JPG.JPG
wi417127,NL ah,Quaker Havermout super goodness naturel 400 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Havermout (regular),,08120,6.4,,,400 g,2.56,,,https://static.ah.nl/static/product/AHI_4354525f36303035333035_1_LowRes_JPG.JPG
wi211931,NL ah,Lassie Minuutje zilvervliesrijst 250 g ,1,,Pasta. rijst. internationale keuken/Zilvervlies rijst,,20041,6.4,,,250 g,1.6,,,https://static.ah.nl/static/product/AHI_434d50313830353333_1_LowRes_JPG.JPG
wi48897/,NL ah,AH Olijfolie extra vierge 500 ml ,1,,Pasta. rijst. internationale keuken/Extra vierge dagelijks,,04053,6.38,,,500 ml,3.19,,,https://static.ah.nl/static/product/AHI_434d50303736393531_3_LowRes_JPG.JPG
wi362206,NL ah,AH Biologisch Yoghurt 204 g ,1,,Zuivel. eieren/Volle yoghurt,,01118,6.37254902,,,204 g,1.3,,,https://static.ah.nl/static/product/AHI_434d50313733323934_3_LowRes_JPG.JPG
wi162461,NL ah,AH Biologisch Sjalotten 250 g ,1,,Aardappel. groente. fruit/Sjalotten,,11282,6.36,,,250 g,1.59,,,https://static.ah.nl/static/product/AHI_434d50313434323630_2_LowRes_JPG.JPG
wi164070,NL ah,AH Doosjevol mangostukjes 250 g ,1,,Diepvries/Mango (diepvries),,09176,6.36,,,250 g,1.59,,,https://static.ah.nl/static/product/AHI_434d50313737353437_2_LowRes_JPG.JPG
wi415005,NL ah,La Morena Volkoren tortilla wraps 6 stuks ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.35,,,6 stuks,2.35,,,https://static.ah.nl/static/product/AHI_434d50353531343130_1_LowRes_JPG.JPG
wi228020,NL ah,Smaakt Ontbijt rozijnen abrikoos 440 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Havermout (regular),,08120,6.340909091,,,440 g,2.79,,,https://static.ah.nl/static/product/AHI_434d50313639353937_1_LowRes_JPG.JPG
wi60158/,NL ah,Calvé Pindasaus mild 350 g ,1,,Pasta. rijst. internationale keuken/Satésaus,,27059,6.314285714,,,350 g,2.21,,,https://static.ahold.com/cmgtcontent/media//001297700/000/001297734_002_60158_708.jpg
wi201933,NL ah,LoSalt Mineraalzout 350 g ,1,,Soepen. conserven. sauzen. smaakmakers/Zout (diverse),,02047,6.314285714,,,350 g,2.21,,,https://static.ahold.com/cmgtcontent/media//001562600/000/001562664_001_201933_708.jpg
wi133265,NL ah,Fage Total Griekse yoghurt 500 g ,1,,Zuivel. eieren/Griekse yoghurt naturel,,01287,6.3,,,500 g,3.15,,,https://static.ahold.com/cmgtcontent/media//001555600/000/001555668_005_133265_708.jpg
wi220740,NL ah,Calvé Pindakaas met stukjes pinda 650 g ,1,,Ontbijtgranen. broodbeleg. tussendoor/Pindakaas,,16398,6.292307692,,,650 g,4.09,,,https://static.ahold.com/cmgtcontent/media//001048700/000/001048778_002_220740_708.jpg
wi67552/,NL ah,Danone Hüttenkäse 400 g ,1,,Kaas. vleeswaren. delicatessen/Huttenkase,,01012,6.25,,,400 g,2.5,,,https://static.ahold.com/cmgtcontent/media//001215700/000/001215724_003_67552_708.jpg
wi226267,NL ah,Statesman Sardines in zonnebloemolie 120 g ,1,,Soepen. conserven. sauzen. smaakmakers/Sardines (conserven),,15088,6.25,,,120 g,0.75,,,https://static.ahold.com/cmgtcontent/media//001127300/000/001127360_001_226267_708.jpg
wi395953,NL ah,AH Bloemkoolroosjes 400 g ,1,,Aardappel. groente. fruit/Bloemkool (vers),,11135,6.225,,,400 g,2.49,,,https://static.ah.nl/static/product/AHI_434d50323633343232_1_LowRes_JPG.JPG
wi395946,NL ah,AH Sperziebonen 400 g ,1,,Aardappel. groente. fruit/Sperziebonen (vers),,11052,6.225,,,400 g,2.49,,,https://static.ah.nl/static/product/AHI_434d50323633343637_1_LowRes_JPG.JPG
wi417523,NL ah,Santa Maria Soft tortilla 8 stuks ,1,,Pasta. rijst. internationale keuken/Tortilla. wrap. burrito,,18450,6.22,,,8 stuks,1.99,,,https://static.ah.nl/static/product/AHI_434d50363530313833_2_LowRes_JPG.JPG
