id,name,active,description,timestamp,weight_unit_g,kcals,protein,fat,carb,fiber,water,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitaminc,thiamin,riboflavin,niacin,pantothenicacid,vitaminb6,folate,choline,vitaminb12,vitamina,vitamine,vitamind,vitamink,ala183und,la182und,monofat,polyfat,satfat,transfat,phenylalanine,valine,threonine,tryptophan,methionine,leucine,isoleucine,lysine,histidine
11211,Edamame,1,Edamame. frozen. unprepared,,,109,11.22,4.73,7.61,4.8,75.17,60,2.11,61,161,482,6,1.32,0.324,,1.01,0,9.7,0.15,0.265,0.925,0.535,0.135,303,56,0,0,0.72,0,31.4,0,0,0,0,0,0,0.46,0.305,0.312,0.119,0.133,0.702,0.283,0.702,0.252
11215,Garlic,1,Garlic. raw,,,149,6.36,0.5,33.06,2.1,58.58,181,1.7,25,153,401,17,1.16,0.299,,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3,23.2,0,0,0.08,0,1.7,0.02,0.229,0.011,0.249,0.089,0,0.183,0.291,0.157,0.066,0.076,0.308,0.217,0.273,0.113
11052,Green beans,1,Beans. snap. green. raw,,,31,1.83,0.22,6.97,2.7,90.32,37,1.03,25,38,211,6,0.24,0.069,,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33,15.3,0,35,0.41,0,43,0.069,0.044,0.01,0.113,0.05,0,0.067,0.09,0.079,0.019,0.022,0.112,0.066,0.088,0.034
11252,Iceberg lettuce,1,Lettuce. iceberg (includes crisphead types). raw,,,14,0.9,0.14,2.97,1.2,95.64,18,0.41,7,20,141,10,0.15,0.025,,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29,6.7,0,25,0.18,0,24.1,0.052,0.021,0.006,0.074,0.018,0,0.023,0.024,0.025,0.009,0.005,0.025,0.018,0.024,0.009
11233,Kale,1,Kale. raw,,,35,2.92,1.49,4.42,4.1,89.63,254,1.6,33,55,348,53,0.39,0.053,,0.92,0.9,93.4,0.113,0.347,1.18,0.37,0.147,62,0.5,0,241,0.66,0,389.6,0.378,0.291,0.104,0.673,0.178,0,0.15,0.159,0.131,0.035,0.029,0.205,0.175,0.175,0.172
11253,Lettuce,1,Lettuce. green leaf. raw,,,15,1.36,0.15,2.87,1.3,94.98,36,0.86,13,29,194,28,0.18,0.029,,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38,13.6,0,370,0.22,0,126.3,0.058,0.024,0.006,0.082,0.02,0,0.055,0.07,0.059,0.009,0.016,0.079,0.084,0.084,0.022
11260,Mushrooms,1,Mushrooms. white. raw,,,22,3.09,0.34,3.26,1,92.45,3,0.5,9,86,318,5,0.52,0.318,,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,17.3,0.04,0,0.01,0.2,0,0,0.16,0,0.16,0.05,0,0.085,0.232,0.107,0.035,0.031,0.12,0.076,0.107,0.057
11270,Mustard greens,1,Mustard greens. raw,,,27,2.86,0.42,4.67,3.2,90.7,115,1.64,32,58,384,20,0.25,0.165,,0,0.9,70,0.08,0.11,0.8,0.21,0.18,12,0.5,0,151,2.01,0,257.5,0.018,0.02,0.092,0.038,0.01,0,0,0,0,0,0,0,0,0,0
11278,Okra,1,Okra. raw,,,33,1.93,0.19,7.45,3.2,89.58,82,0.62,57,61,299,7,0.58,0.109,,0.788,0.7,23,0.2,0.06,1,0.245,0.215,60,12.3,0,36,0.27,0,31.3,0.001,0.026,0.017,0.027,0.026,0,0.065,0.091,0.065,0.017,0.021,0.105,0.069,0.081,0.031
11282,Onion,1,Onions. raw,,,40,1.1,0.1,9.34,1.7,89.11,23,0.21,10,29,146,4,0.17,0.039,,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,6.1,0,0,0.02,0,0.4,0.004,0.013,0.013,0.017,0.042,0,0.025,0.021,0.021,0.014,0.002,0.025,0.014,0.039,0.014
11352,Potatoes,1,Potatoes. flesh and skin. raw,,,77,2.05,0.09,17.49,2.1,79.25,12,0.81,23,57,425,6,0.3,0.11,,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15,12.1,0,0,0.01,0,2,0.01,0.032,0.002,0.042,0.025,0,0.081,0.103,0.067,0.021,0.032,0.098,0.066,0.107,0.035
11422,Pumpkin,1,Pumpkin. raw,,,26,1,0.1,6.5,0.5,91.6,21,0.8,12,44,340,1,0.32,0.127,,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,8.2,0,426,1.06,0,1.1,0.003,0.002,0.013,0.005,0.052,0,0.032,0.035,0.029,0.012,0.011,0.046,0.031,0.054,0.016
11669,Seaweed,1,Seaweed. wakame. raw,,,45,3.03,0.64,9.14,0.5,79.99,150,2.18,107,80,50,872,0.38,0.284,,1.4,0.7,3,0.06,0.23,1.6,0.697,0.002,196,13.9,0,18,1,0,5.3,0.002,0.01,0.058,0.218,0.13,0,0.112,0.209,0.165,0.035,0.063,0.257,0.087,0.112,0.015
11457,Spinach,1,Spinach. raw,,,23,2.86,0.39,3.63,2.2,91.4,99,2.71,79,49,558,79,0.53,0.13,,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,19.3,0,469,2.03,0,482.9,0.138,0.026,0.01,0.165,0.063,0,0.129,0.161,0.122,0.039,0.053,0.223,0.147,0.174,0.064
11507,Sweet Potato,1,Sweet potato. raw. unprepared (Includes foods for USDA's Food Distribution Program),,,86,1.57,0.05,20.12,3,77.28,30,0.61,25,47,337,55,0.3,0.151,,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11,12.3,0,709,0.26,0,1.8,0.001,0.013,0.001,0.014,0.018,0,0.089,0.086,0.083,0.031,0.029,0.092,0.055,0.066,0.031
